"Label","United States!!Owner-occupied housing units with a mortgage!!Estimate","United States!!Owner-occupied housing units with a mortgage!!Margin of Error","United States!!Percent owner-occupied housing units with a mortgage!!Estimate","United States!!Percent owner-occupied housing units with a mortgage!!Margin of Error"
"Owner-occupied housing units with a mortgage","48,416,627","±244,970","48,416,627","±244,970"
"    VALUE","","","",""
"        Less than $50,000","1,514,208","±14,024","3.1%","±0.1"
"        $50,000 to $99,999","4,747,712","±30,773","9.8%","±0.1"
"        $100,000 to $299,999","23,875,115","±123,153","49.3%","±0.1"
"        $300,000 to $499,999","10,493,310","±54,227","21.7%","±0.1"
"        $500,000 to $749,999","4,404,268","±23,106","9.1%","±0.1"
"        $750,000 to $999,999","1,712,035","±10,461","3.5%","±0.1"
"        $1,000,000 or more","1,669,979","±9,986","3.4%","±0.1"
"        Median (dollars)","239,100","±211","239,100","±211"
"    MORTGAGE STATUS","","","",""
"        With either a second mortgage, or home equity loan, but not both","6,196,012","±64,419","12.8%","±0.1"
"            Second mortgage only","1,225,668","±13,086","2.5%","±0.1"
"            Home equity loan only","4,970,344","±54,008","10.3%","±0.1"
"        Both second mortgage and home equity loan","204,632","±3,442","0.4%","±0.1"
"        No second mortgage and no home equity loan","42,015,983","±182,558","86.8%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","",""
"        Less than $10,000","917,999","±7,670","1.9%","±0.1"
"        $10,000 to $24,999","2,430,104","±10,635","5.0%","±0.1"
"        $25,000 to $34,999","2,408,263","±11,574","5.0%","±0.1"
"        $35,000 to $49,999","4,344,062","±18,671","9.0%","±0.1"
"        $50,000 to $74,999","8,167,746","±38,397","16.9%","±0.1"
"        $75,000 to $99,999","7,687,968","±45,356","15.9%","±0.1"
"        $100,000 to $149,999","10,913,245","±74,285","22.5%","±0.1"
"        $150,000 or more","11,547,240","±79,876","23.8%","±0.1"
"        Median household income (dollars)","93,884","±156","93,884","±156"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than 2.0","17,827,582","±129,418","36.8%","±0.1"
"        2.0 to 2.9","11,607,357","±73,350","24.0%","±0.1"
"        3.0 to 3.9","6,488,505","±33,822","13.4%","±0.1"
"        4.0 or more","12,259,495","±28,097","25.3%","±0.1"
"        Not computed","233,688","±3,534","0.5%","±0.1"
"    MONTHLY HOUSING COSTS","","","",""
"        Less than $200","18,637","±960","0.0%","±0.1"
"        $200 to $399","189,191","±3,299","0.4%","±0.1"
"        $400 to $599","1,088,632","±8,922","2.2%","±0.1"
"        $600 to $799","2,895,336","±17,781","6.0%","±0.1"
"        $800 to $999","4,620,213","±26,601","9.5%","±0.1"
"        $1,000 to $1,499","13,248,839","±67,426","27.4%","±0.1"
"        $1,500 to $1,999","10,169,830","±54,768","21.0%","±0.1"
"        $2,000 to $2,499","6,274,095","±36,485","13.0%","±0.1"
"        $2,500 to $2,999","3,841,335","±23,746","7.9%","±0.1"
"        $3,000 or more","6,070,519","±31,722","12.5%","±0.1"
"        Median (dollars)","1,595","±2","1,595","±2"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than $20,000","2,137,677","±10,565","4.4%","±0.1"
"            Less than 20 percent","5,455","±557","0.0%","±0.1"
"            20 to 29 percent","23,640","±1,012","0.0%","±0.1"
"            30 percent or more","2,108,582","±10,290","4.4%","±0.1"
"        $20,000 to $34,999","3,385,001","±14,610","7.0%","±0.1"
"            Less than 20 percent","78,936","±1,789","0.2%","±0.1"
"            20 to 29 percent","404,059","±4,041","0.8%","±0.1"
"            30 percent or more","2,902,006","±13,173","6.0%","±0.1"
"        $35,000 to $49,999","4,344,062","±18,671","9.0%","±0.1"
"            Less than 20 percent","425,008","±4,615","0.9%","±0.1"
"            20 to 29 percent","1,287,793","±9,786","2.7%","±0.1"
"            30 percent or more","2,631,261","±11,884","5.4%","±0.1"
"        $50,000 to $74,999","8,167,746","±38,397","16.9%","±0.1"
"            Less than 20 percent","2,149,134","±15,231","4.4%","±0.1"
"            20 to 29 percent","3,154,052","±19,247","6.5%","±0.1"
"            30 percent or more","2,864,560","±15,587","5.9%","±0.1"
"        $75,000 or more","30,148,453","±192,524","62.3%","±0.1"
"            Less than 20 percent","19,467,511","±137,543","40.2%","±0.1"
"            20 to 29 percent","7,787,374","±51,324","16.1%","±0.1"
"            30 percent or more","2,893,568","±15,245","6.0%","±0.1"
"        Zero or negative income","233,688","±3,534","0.5%","±0.1"
"    REAL ESTATE TAXES","","","",""
"        Less than $800","4,979,617","±29,282","10.3%","±0.1"
"        $800 to $1,499","7,882,691","±40,810","16.3%","±0.1"
"        $1,500 or more","34,441,284","±173,704","71.1%","±0.1"
"        No real estate taxes paid","1,113,035","±12,215","2.3%","±0.1"
"        Median (dollars)","2,750","±3","2,750","±3"
